Run,Best Fitness
1,-2.3635856006174607
2,-2.4166132158934177
3,-2.405628107361348
4,-2.3797499075330606
5,-2.3075053389384084
6,-2.346632818184234
7,-2.312266795847598
8,-2.394923908753202
9,-2.043743152667547
10,-2.4456153263901688
11,-2.3255607673525804
12,-2.401799141494437
13,-2.3806840015636057
14,-2.3896238390051714
15,-2.429702480946802
16,-2.3680652305776846
17,-2.2583353597751423
18,-2.3218021318740476
19,-2.3832018955069185
20,-2.3969278690762437
21,-2.393819465894372
22,-2.4129468317145064
23,-2.382755999492267
24,-2.347010149711574
25,-2.360535832980734
26,-2.379125380105894
27,-2.281900143948388
28,-2.321108296632242
29,-2.35676056917328
30,-2.2135110118752173
